iteration,inertia,cognition,social,average_distance,timeout,total_steps

0,0.100000,1.000000,1.000000, 5.401338,false,72
1,0.100000,1.000000,1.000000, 5.485600,false,71
2,0.100000,1.000000,1.000000, 5.396054,false,73
3,0.100000,1.000000,1.000000, 5.631976,false,73
4,0.100000,1.000000,1.000000, 5.603643,false,74
5,0.100000,1.000000,1.000000, 5.370793,false,74
6,0.100000,1.000000,1.000000, 5.726343,false,73
7,0.100000,1.000000,1.000000, 5.256171,false,72
8,0.100000,1.000000,1.000000, 5.481146,false,72
9,0.100000,1.000000,1.000000, 5.487197,false,71
0,0.200000,1.000000,1.000000, 5.601283,false,71
1,0.200000,1.000000,1.000000, 5.351331,false,74
2,0.200000,1.000000,1.000000, 5.339565,false,72
3,0.200000,1.000000,1.000000, 5.788466,false,72
4,0.200000,1.000000,1.000000, 5.770915,false,71
5,0.200000,1.000000,1.000000, 5.637103,false,71
6,0.200000,1.000000,1.000000, 5.520079,false,74
7,0.200000,1.000000,1.000000, 5.558270,false,72
8,0.200000,1.000000,1.000000, 5.416787,false,73
9,0.200000,1.000000,1.000000, 5.530594,false,74
0,0.300000,1.000000,1.000000, 5.380560,false,75
1,0.300000,1.000000,1.000000, 5.702795,false,70
2,0.300000,1.000000,1.000000, 5.213440,false,74
3,0.300000,1.000000,1.000000, 5.304930,false,73
4,0.300000,1.000000,1.000000, 5.516505,false,72
5,0.300000,1.000000,1.000000, 5.152135,false,72
6,0.300000,1.000000,1.000000, 5.582825,false,75
7,0.300000,1.000000,1.000000, 5.822137,false,72
8,0.300000,1.000000,1.000000, 5.813879,false,75
9,0.300000,1.000000,1.000000, 5.374410,false,71
0,0.400000,1.000000,1.000000, 5.613856,false,78
1,0.400000,1.000000,1.000000, 5.500243,false,72
2,0.400000,1.000000,1.000000, 5.572447,false,73
3,0.400000,1.000000,1.000000, 5.616268,false,73
4,0.400000,1.000000,1.000000, 5.960784,false,74
5,0.400000,1.000000,1.000000, 5.624148,false,72
6,0.400000,1.000000,1.000000, 5.736002,false,72
7,0.400000,1.000000,1.000000, 5.859824,false,73
8,0.400000,1.000000,1.000000, 5.704101,false,76
9,0.400000,1.000000,1.000000, 6.019950,false,73
0,0.500000,1.000000,1.000000, 5.455447,false,72
1,0.500000,1.000000,1.000000, 5.846994,false,75
2,0.500000,1.000000,1.000000, 5.609962,false,72
3,0.500000,1.000000,1.000000, 5.806486,false,70
4,0.500000,1.000000,1.000000, 5.898374,false,71
5,0.500000,1.000000,1.000000, 5.574438,false,71
6,0.500000,1.000000,1.000000, 5.567672,false,75
7,0.500000,1.000000,1.000000, 5.705584,false,72
8,0.500000,1.000000,1.000000, 5.392201,false,69
9,0.500000,1.000000,1.000000, 5.438683,false,71
0,0.600000,1.000000,1.000000, 5.561685,false,70
1,0.600000,1.000000,1.000000, 5.481720,false,70
2,0.600000,1.000000,1.000000, 5.471189,false,70
3,0.600000,1.000000,1.000000, 5.646357,false,70
4,0.600000,1.000000,1.000000, 5.474550,false,72
5,0.600000,1.000000,1.000000, 5.498172,false,71
6,0.600000,1.000000,1.000000, 5.380723,false,72
7,0.600000,1.000000,1.000000, 5.414275,false,73
8,0.600000,1.000000,1.000000, 5.622689,false,71
9,0.600000,1.000000,1.000000, 5.677941,false,74
0,0.700000,1.000000,1.000000, 5.519210,false,72
1,0.700000,1.000000,1.000000, 5.827600,false,71
2,0.700000,1.000000,1.000000, 5.603538,false,72
3,0.700000,1.000000,1.000000, 5.748335,false,72
4,0.700000,1.000000,1.000000, 5.668005,false,70
5,0.700000,1.000000,1.000000, 5.757745,false,73
6,0.700000,1.000000,1.000000, 5.892570,false,70
7,0.700000,1.000000,1.000000, 5.496598,false,70
8,0.700000,1.000000,1.000000, 5.899096,false,76
9,0.700000,1.000000,1.000000, 5.583408,false,69
0,0.800000,1.000000,1.000000, 6.167595,false,73
1,0.800000,1.000000,1.000000, 5.391597,false,77
2,0.800000,1.000000,1.000000, 5.957943,false,70
3,0.800000,1.000000,1.000000, 5.523468,false,70
4,0.800000,1.000000,1.000000, 5.928864,false,70
5,0.800000,1.000000,1.000000, 5.917855,false,71
6,0.800000,1.000000,1.000000, 5.552289,false,72
7,0.800000,1.000000,1.000000, 6.088927,false,71
8,0.800000,1.000000,1.000000, 5.680171,false,71
9,0.800000,1.000000,1.000000, 5.670788,false,72
0,0.900000,1.000000,1.000000, 5.712751,false,72
1,0.900000,1.000000,1.000000, 5.897381,false,72
2,0.900000,1.000000,1.000000, 5.380453,false,72
3,0.900000,1.000000,1.000000, 5.881997,false,73
4,0.900000,1.000000,1.000000, 5.947752,false,74
5,0.900000,1.000000,1.000000, 5.749141,false,74
6,0.900000,1.000000,1.000000, 5.900361,false,72
7,0.900000,1.000000,1.000000, 6.063591,false,72
8,0.900000,1.000000,1.000000, 5.905795,false,73
9,0.900000,1.000000,1.000000, 6.065407,false,73
0,1.000000,1.000000,1.000000, 5.744005,false,73
1,1.000000,1.000000,1.000000, 5.958774,false,73
2,1.000000,1.000000,1.000000, 5.829521,false,74
3,1.000000,1.000000,1.000000, 5.828907,false,73
4,1.000000,1.000000,1.000000, 5.927974,false,74
5,1.000000,1.000000,1.000000, 5.947385,false,73
6,1.000000,1.000000,1.000000, 6.115636,false,77
7,1.000000,1.000000,1.000000, 5.885024,false,70
8,1.000000,1.000000,1.000000, 5.812416,false,71
9,1.000000,1.000000,1.000000, 5.798234,false,72
